42, 0.227218 0.218086 0.251321 0.133973 0.205053 0.314271 0.223852 0.201532 0.256765 0.218308 0.206958 0.132417 accobeat 147.656;
43, 0.227091 0.218191 0.255261 0.137517 0.198791 0.314988 0.221086 0.198666 0.255287 0.220183 0.208701 0.135343;
44, 0.23051 0.218177 0.260428 0.132846 0.197425 0.316041 0.218915 0.194875 0.252991 0.220371 0.201876 0.133472;
45, 0.231887 0.214936 0.264089 0.133095 0.19187 0.313317 0.212258 0.192719 0.249737 0.218041 0.193826 0.130924;
46, 0.237144 0.208661 0.265372 0.132434 0.189014 0.312665 0.207698 0.191188 0.245644 0.214037 0.191958 0.125258;
47, 0.236847 0.199544 0.266417 0.134974 0.191033 0.31236 0.19938 0.18453 0.243218 0.215716 0.180032 0.13016;
48, 0.240818 0.192332 0.26922 0.131988 0.188578 0.310151 0.194142 0.182292 0.240911 0.21838 0.171051 0.126203;
49, 0.242495 0.185557 0.274229 0.135217 0.189376 0.31258 0.193535 0.179013 0.244162 0.214393 0.177583 0.126398;
50, 0.249589 0.179424 0.27986 0.141825 0.184652 0.314912 0.186771 0.180508 0.245481 0.212286 0.187001 0.130345;
51, 0.253953 0.175541 0.285079 0.147329 0.18187 0.317197 0.185916 0.181812 0.246879 0.212783 0.203088 0.13304;
52, 0.257873 0.172092 0.29002 0.148768 0.174031 0.319 0.181624 0.183287 0.25365 0.214532 0.223026 0.139072;
53, 0.260684 0.170647 0.296565 0.152337 0.169197 0.317372 0.17971 0.183916 0.257473 0.220109 0.247594 0.150022;
54, 0.265394 0.173126 0.302312 0.152732 0.169196 0.313667 0.177744 0.185696 0.259072 0.223237 0.258677 0.15484;
55, 0.266902 0.181901 0.307626 0.15344 0.167019 0.308342 0.171349 0.184258 0.257735 0.22653 0.261018 0.159756;
56, 0.267507 0.190683 0.307306 0.15256 0.169713 0.301378 0.167664 0.182391 0.253162 0.225425 0.255945 0.161342;
57, 0.267025 0.196747 0.303176 0.151383 0.172288 0.293507 0.169621 0.181942 0.248951 0.227053 0.243495 0.159039;
58, 0.261522 0.200015 0.298992 0.150448 0.179444 0.289772 0.170604 0.182769 0.244553 0.230476 0.232354 0.157349;
59, 0.256235 0.20376 0.293909 0.1515 0.179636 0.291741 0.172837 0.180467 0.244519 0.232066 0.221874 0.151622;
60, 0.251097 0.207475 0.287513 0.149489 0.182713 0.292692 0.175467 0.177549 0.244643 0.235304 0.213786 0.148833;
61, 0.245281 0.214813 0.279918 0.144263 0.185701 0.294955 0.181994 0.177042 0.244572 0.232531 0.204438 0.141872;
62, 0.238241 0.219584 0.275586 0.140331 0.184053 0.297 0.195738 0.178962 0.245847 0.229818 0.197124 0.140921;
63, 0.235227 0.219824 0.273327 0.133441 0.188657 0.300957 0.203052 0.180969 0.248784 0.221501 0.200331 0.137087;
64, 0.232426 0.221222 0.278685 0.133734 0.191494 0.303423 0.21281 0.185088 0.248931 0.217561 0.204885 0.139213;
65, 0.2287 0.222176 0.283828 0.128717 0.194407 0.303755 0.220459 0.187318 0.251133 0.217564 0.20829 0.134723;
66, 0.225114 0.226454 0.28871 0.12601 0.19886 0.306375 0.220978 0.189956 0.251347 0.220899 0.214504 0.138452;
67, 0.224543 0.226391 0.291879 0.12352 0.200067 0.312481 0.221159 0.189628 0.251743 0.216048 0.223676 0.133793 beat;
68, 0.224011 0.223848 0.29654 0.125129 0.203167 0.319565 0.215201 0.186629 0.250563 0.217019 0.227813 0.13476;
69, 0.224101 0.222522 0.298146 0.126449 0.202206 0.325315 0.211588 0.185378 0.250231 0.209906 0.228446 0.131394;
70, 0.225601 0.219513 0.296427 0.120375 0.201063 0.3307 0.214387 0.183483 0.249713 0.207932 0.232016 0.131583;
71, 0.227907 0.213166 0.291804 0.118295 0.203137 0.336369 0.218706 0.186763 0.252601 0.213767 0.23279 0.128651;
72, 0.232416 0.2074 0.285788 0.115321 0.198825 0.342077 0.221693 0.202456 0.252119 0.222187 0.229148 0.131531;
73, 0.236763 0.202709 0.277467 0.115794 0.195672 0.346116 0.224179 0.213164 0.255569 0.228726 0.226251 0.126183;
74, 0.239399 0.195764 0.272734 0.112968 0.194269 0.347303 0.219983 0.223673 0.255114 0.237022 0.223572 0.130252;
75, 0.24316 0.192839 0.268239 0.114048 0.190435 0.345651 0.223629 0.22888 0.257039 0.242532 0.214081 0.124876;
76, 0.243486 0.189775 0.265345 0.115161 0.190493 0.341232 0.220033 0.232749 0.26292 0.244196 0.204225 0.134484;
77, 0.246558 0.186566 0.263967 0.116254 0.18811 0.334771 0.221453 0.232158 0.262269 0.245935 0.202919 0.140375;
78, 0.244597 0.190255 0.265926 0.114763 0.186174 0.330631 0.214689 0.229468 0.259166 0.246491 0.196162 0.146327;
79, 0.247826 0.191752 0.267922 0.115283 0.183817 0.329697 0.206923 0.227036 0.251252 0.247667 0.192801 0.157174;
80, 0.247624 0.191189 0.271426 0.113473 0.180977 0.328428 0.201829 0.220463 0.24418 0.244277 0.192354 0.161003;
81, 0.252371 0.193086 0.272033 0.117151 0.175271 0.325579 0.192851 0.213729 0.235335 0.241235 0.194298 0.16301;
82, 0.254658 0.198995 0.271452 0.114546 0.168911 0.323174 0.185122 0.205172 0.226735 0.238547 0.193342 0.170536;
83, 0.254702 0.203804 0.27066 0.117478 0.167464 0.322028 0.18038 0.195617 0.218036 0.23339 0.199834 0.169699;
84, 0.254855 0.207847 0.273749 0.122262 0.163368 0.322491 0.181859 0.185441 0.215826 0.231432 0.209687 0.172859;
85, 0.251021 0.207245 0.274597 0.133276 0.168664 0.32519 0.177396 0.17675 0.214213 0.231238 0.213013 0.170486;
86, 0.249147 0.205982 0.274886 0.138868 0.170869 0.325735 0.179897 0.170301 0.214007 0.230403 0.215768 0.169539;
87, 0.246102 0.208936 0.27624 0.141615 0.178004 0.325009 0.177629 0.168493 0.21694 0.230826 0.21772 0.163792;
88, 0.244314 0.207933 0.276526 0.139744 0.182134 0.321902 0.178114 0.174349 0.219166 0.228213 0.21564 0.159349;
89, 0.243365 0.207426 0.276486 0.138593 0.189968 0.319892 0.177749 0.178959 0.223993 0.227898 0.209924 0.153288;
90, 0.239142 0.209932 0.275487 0.131604 0.191173 0.319673 0.177943 0.182639 0.229295 0.228388 0.205091 0.144643;
91, 0.239818 0.209814 0.271807 0.130367 0.194225 0.322288 0.178811 0.185937 0.235374 0.229449 0.203515 0.139842 accobeat 117.454;
92, 0.234174 0.209846 0.269852 0.127201 0.198255 0.326228 0.174591 0.185341 0.241152 0.22727 0.197834 0.135637;
